WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
2242,DCP1 WC3 OVERHAUL,TASK,"15/09/2014 - MHI,DAITO & SDC : 1) APPLY PTW & LOTO & PREPARATION WORK FOR WC3 OVERHAUL 
                               2) ISOLATION VALVES FOR LIQUID LINES WERE OPEN TO TRANSFER LIQUID REFRIGERANT FROM WC3 TO RPDU.
                               3) REMOVE COLD INSULATION
16/09/2014 - MHI & SDC ;       1) REFRIGERANT GAS WAS RECOVERED FROM WC3 TO RPDU.  ALL REFRIGERANT IN WC3 WAS FULLY RECOVERED. LEVEL OF REFRIGERANT IN RPDU IS 760MM. TOTAL WEIGHT REFRIGERANT 4220KG.
                                  COOLING WATER PUMP AND CHILLED WATER PUMP WERE RUNNED TO CIRCULATE WATER IN EVAPORATOR AND CONDENSER DURING THE RECOVERY PROCESS.    
                               2) DRAIN OUT COMPRESSOR OIL OF WC3-1 & 3-2 FOR FUTURE REFERENCE.
                               3) CONTINUE REMOVE COLD INSULATION
17/09/2014 - MHI,DAITO & SDC   1) PREPARATION WORK FOR DISMANTLING COMPRESSORS WERE CARRIED OUT. LOTO WAS CARRIED OUT FOR COOLING WATER AND CHILLED WATER VALVES. COOLING WATER IN CONDENSER WAS DRAINED FOR PIPE DISMANTLING.PIPING AND                                                   CABLING FOR COMPRESSORS WERE REMOVED FOR DISMANTLING.
18/09/2014 - MAINTENANCE TEAM : 1)DISMANTEL WCDP 3 FOR OVERHAUL TO REPLACED BOTH NDE & DE BEARINGS & MECHSEALS.
19/09/2014 - MHI,DAITO & YCK  : 1)DISMATLING OF COMPRESSORS FROM CHILLER AND SHIFTING TO HOISTING AREA. CONNECTION JOINT FOR COMPRESSORS WERE COVERED. EVAPORATOR AND CONDENSER WERE PRESSURISED USING N2 GAS TO MAINTAIN POSITIVE PRRESSURE ABOVE                                         ATMOSPERIC. 
20/09/2014 - MHI,DAITO,SDC & YCK : 1)LIFTING AND TRANSPORTING OF COMPRESSORS TO MHI-DAITO WORKSHOP.
22/09/2014 - MHI,DAITO & SDC     : 1)DISMANTLING OF COMPRESSORS COMMENCED IN WORKSHOP FOR CLEANING, INSPECTING AND REPLACING WORN-OUT PARTS.
22/09/2014 - MAINTENANCE TEAM :  1)REINSTALL BACK WCDP3 PUMP SHAFT & CASING & PRESSURE TEST.
23/09/2014 - MAINTENANCE TEAM :  1)DISMANTEL WCP3 FOR OVERHAUL TO REPLACED BOTH NDE & DE BEARINGS & 1 NO MECHSEAL.
26/09/2014 - MAINTENANCE TEAM :  1)REINSTALLED BACK THE WCP3 & PRESSURE TEST.
29/09/2014 - MHI, DAITO & SDC :  1) RE-ASSEMBLING OF COMPRESSORS COMMENCED IN WORKSHOP FOR DELIVERY SCHEDULED ON 04TH OCT 2014.  
30/09/2014 - MHI,DAITO & SDC  :  1) REPLACED NEW GASKET FOR COOLING WATER PIPE. CONNECT BACK COOLING WATER PIPE TO COOLING WATER BOX PIPING.
                                 2) CLEANING COOLING WATER BOX(DAITO)
01/10/2014 - MHI,DAITO & SDC  :  1) CONTINUE CLEANING COOLING WATER BOX(DAITO)
                                 2) ARRIVAL OF COMPRESSOR TUBING AND CHILLER PARTS FROM DAITO WORKSHOP TO SDC.
                                 3) WATERBOX EPOXY PAINTING AND TUBING END.
02/10/2014 - MHI,DAITO & SDC :   1) INSTALL NEW SET OF REFRIGERANT LEVEL SENSOR.
                                 2) INSTALL BACK HOT GAS BYPASS VALVE AND CONNECTION OF WIRING TERMINAL.
                                 3) INSTALL VANE MOTOR CONTROL FOR BOTH COMPRESSOR.
                                 4) MHI ENGINEER INSTALL AND FIX NEW PT SWITCHES FOR CONTROL RELAY PROTECTION PANEL.
04/10/2014 - MHI,DAITO,SDC & YCK : 1) ARRIVAL OF COMPRESSOR FROM DAITO WORKSHOP. LIFTING WORK CARRY OUT BY YAP CHENG KOON. BOTH COMPRESSOR STORE AT B2 HOLDING AREA.
07/10/2014 - MHI,DAITO,SDC & YCK : 1) LIFTING WORK FOR COMPRESSOR TO BE INSTALLED AT CHILLER. DONE BY YAP CHENG KOON
                                   2) INSTALL BACK SUCTION PIPE FOR COMPRESSOR.
08/10/2014 - MHI,DAITO & SDC     : 1) CONTINUE THE INSTALLATION. 
09/10/2014 - MHI,DAITO & SDC     : 1) CLEAN AND INSTALL COMPRESSOR OIL FILTER AND REPLACED O-RING.
10/10/2014 - MHI,DAITO & SDC     : 1) PRESSURE TEST AND PUMP IN 0.42MPA N2 FOR LEAK TEST AND HOLD FOR ONE NIGHT.
13/10/2014 - MHI,DAITO & SDC     : 1) CLOSE WATERBOX FOR CONDENSOR AND EVAPORATOR.
                                   2) CHARGE-IN CHILLED WATER TO EVAPORATOR.
                                   3) INSTALL BACK REFRIGERANT PIPING AND SAFETY VALVE.
                                   4) DAITO INJECT N2 0.92MPA INTO CHILLER SHELL FOR HOLDING PRESSURE TEST. AT 1600HRS.
14/10/2014 - MHI,DAITO & SDC :     1) CHECK PRESSURE TEST READING; READING AT 0.9183MPA. PASSED PRESSURE TEST.
                                   2) RELEASING OF N2 FROM CHILLER.
                                   3) PAINTING OUTER SIDE OF WATERBOX FOR BOTH CONDENSOR AND EVAPORATOR.
                                   4) VACUUM OF CHILLER FOR N2 COMPLETE VACUUMING STATE. VACCUM PUMP KEPT RUNNING OVERNIGHT.
15/10/2014 - MHI,DAITO & SDC  :    1) CONTINUE VACUMMING WC3; READING 246MPA @0945HRS.
                                   2) CHARGE-IN COMPRESSOR OIL FOR BOTH COMPRESSOR.
16/10/2014 - MHI,DAITO & SDC   :   1) TURN ON ELECTRICAL SUPPLY FOR WCDP3 & WCP3.
                                   2) TEST RUN WCDP3 & WCP3.
                                   3) VACUUM TEST PASSED; READING AT 181PASCAL.
                                   4) SEQUENCE AND SIMULATION TEST FOR PROTECTIVE RELAY.
                                   5) CHARGE-IN GAS FROM RPDU TO CHILLER; EVAPORATOR AND CONDUCTOR PRESSURE AT 0.22MPA.
16/10/2014 - MHI,DAITO & SDC :     1) INSTALLING COLD INSULATION FOR CHILLER.
                                   2) SEQUENCE CHECK FOR COMPRESSOR AND EVAPORATOR BALANCING VALVE.
                                   3) CHARGE-IN LIQUID REFRIGERANT FROM RPDU TO CHILLER; 4220KG.
                                   4) CHARGE-IN LIQUID REFRIGERANT FROM CYLINDER TO CHILLER.
                                   5) PREPARED ELECTRICAL SEQUENCE INTERLOCK CHECK.
                                   6) CHECK PROTECTIVE RELAY AND SIMULATTE PRESSURE GAUGE.
                                   7) COMPRESSOR MOTOR ROTATION CHECK BY MHI PASSED.
17/10/2014 - MHI,DAITO & SDC :     1) COMMISSIONING OF WC3 FOR 4 HOURS TO COLLECT DATA.
20/10/2013 - MHI,DAITO & SDC :     1) CONTINUE COLD-INSULATION WORK.
                                   2) PRE-COMMISSIONING CHECK BY OPERATION.
                                   3) CABLE INSULATION TESTING FOR COMPRESSOR CARRY OUT BY ELECTRICAL EO.
                                   4) MHI DISCOVER BOTH 3-1 & 3-2  OIL EDUCTOR VALVE LEAKING. 
21/10/2014 - MHI, DAITO & SDC:     1) RECOVER REFRIGERANT BACK TO RPDU TO PREPARE FOR THE ABOVE VALAVE REPLACEMENT.
23/10/2014 - MHI, DAITO & SDC      1) MHI & DAITO CONTIUNE RECOVER REFRIGERANT BACK TO RPDU.
                                   2) REMOVED THE DAMAGE OIL EDUCTOR VALVE ON BOTH COMPRESSOR.
                                   3) REPLACED 2NOS NEW VALVE FOR BOTH COMPRESSOR.
24/10/2014 - MHI,DAITO & SDC:      1) CHARGE IN N2 TO CARRY OUT PRESSURE TEST AND PRESSURE AT 0.92MPA.
25/10/2014 - MHI,DAITO & SDC:      1) CARRY OUT VACUUM TEST AND HOLD VACUUM AT 262PA
                                   2) TOP UP COMPRESSOR OIL FOR WC3-1 & 3-2 EACH AT 80 LITER
27/10/2014 - MHI,DAITO & SDC:      1) HOLD VACUUM TEST RISE TO 333PA AFTER 48HRS.
                                   2) CONTIUNE VACUUM TO BRING DOWN TO 256PA
                                   3) BREAK VACUUM USING RPDU VEPOR GAS TO RISE 0.22MPA WITH WCP & WCDP 3 RUNNING
                                   4) RECOVER ALL RERIGERANT FROM RPDU TO WC3-1 & 3-2 SYSTEM AND TOP UP 110KG REFRIGERANT TO WC3-2 SYSTEM
                                   5) RACK IN 6.6KV SWITCH GEAR & TEST RUN CHILLER WITH MHI SUPERVISION & COLLECT RUNNING DATA"
2243,DCP1 WC2 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
05/01/15   - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
           - RECOVER CHILLED WATER TRANSFER TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
           - CLEAN BOTH COOLING & CHILLED WATER STRAINER - MAINTENANCE TEAM 
09/01/15   - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCE TEAM
           - WCP & WCDP MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & 
             MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM 
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO 
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - VERIFY ALL RELATED CHILLED WATER SUPPLY & RETURN RTD & 
             MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM  
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP - DAITO
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - REPLACED BOTH COND. & EVAP. WATER BOX GASKET - DAITO
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO
           - TRANSFER CHILLED WATER BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM 
           - OPEN ALL CHILLED & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP.
             REPLACED 1NO. OF POWER UNIT CARD FOR LCP DISPLAY."
2244,MUSEUM INTAKESTATION TCV 1120A UNABLE TO CONTROL,I&C,"01/04/2014 MT- MUSEUM INTAKE STATION HEX-1 PRIMARY CHILLED WATER SUPPLY VALVE TCV 1120A CHANGE LOCAL MODE ITSELF,UNABLE TO CONTROL FROM DCIS.

04/04/2014 - LEC/DBR : WENT TO SITE TO TROUBLESHOOT FAULT. CHECKED ON MCB AND ALSO REPLACED WITH ACTUATOR'S ELECTRONIC MODULE. PROBLEM STILL EXIST.
                       WILL ARRANGE TO REPLACE WITH WHOLE ACTUATOR.

10/04/2014 - DBR/YHL/MMK : WE REPLACED THE WHOLE ACTUATOR . AFTER REPLACE THE TCV VALVE CAN ABLE TO CONTROL FROM DCIS AND BACK TO NORMAL OPERATION.
                           WE REQUESTED OPERATION TO OPERATE AND MONITOR THE TCV FOR ONE WEEKS.


16/04/2014 - DBR/YHL/MMK : THE TCV HAS BEEN RUNNING WITHOUT ANY ISSUE AFTER REPLACED. TO CLOSE WO AND FURTHER MONITOR."
2245,DCP1 WC5 CHW BY-PASS VALVE XV-123D LEAK,I&C,"04-04-14: THS- Water was noted to leak out from the valve. Preliminary inspection was carried out and noted that the water is coming out from the manual declutch gearbox. 

07-04-2014: MAINTENANCE REPAIR THE BROKEN MANUAL HANDEL USING ARC WELDING FOR DECLUTCH GEARBOX.
            AS FOR WATER LEAKING MENTION ABOVE EITHER WE GO ON LINE CHECKING OR STOP WC5 TO CARRY OUT WORK.

11-04-2014 : MAINTENANCE CLEAR CONDENSATE WATER INSIDE MANUAL DECLUTCH GEARBOX."
2246,DCP2 - 6 NOS. OF LIGHT FITTING SETS NO POWER SUPPLY AT LV SWITCHROOM 1,FACILITY,"07/04/2014 - DCP2 - SISN - 6 NOS. OF LIGHT FITTING SETS NO POWER SUPPLY INSIDE LV SWITCHROOM 1. ( CHECKED  AND FOUND DURING REPLACEMENT OF LIGHT TUBES)

09/04/2014 : MAINTENANCE HAD RETIFY THE POWER SUPPLY TO THE ABOVE MENTION LIGHTING AND REINSTATE POWER TO LIGHT SWITCH DCS/B2M/L/R3 INSPECTED BY EO ANTHONT GOH. 

09/04 /14 - AG - THE REASON OF REINSTATE IS BECAUSE THE ELECTRICAL CIRCUIT FOR THE LIGHTING MENTION ABOVE WAS BREAK OFF BY CONTRACTOR DURING EXPANSION PROJECT"
2247,DCP-1 NWMP CANNOT CONTROL OR UPDATE IN SCADA (INSUM RELATED),I&C,"07/04/2014 PSK - THE NWMP PUMPS STATUS CANNOT UPDATE IN SCADA / SHOW TRIP EVEN THOUGH PUMP IS RUNNING ON SITE. CHECKED ON SITE NO TRIP AT ELECTRICAL PANEL. 
                 FURTHER CHECKS BY I&C INDICATED AN ISSUE WITH INSUM CONTROL.

07/04/2014 LEC/DBR/MZL - TROUBLESHOOT AND FOUND THAT DCIS CAN CONTROL PUMPS BUT THERE IS NO FEEDBACK SIGNAL FROM ALL OF THEM. THEREFORE, THERE IS COMM 
                         BETWEEN DCIS & INSUM BUT NO FEEDBACK. POWER OFF INSUM AND ON BACK AGAIN. AFTER THAT, ABLE TO CONTROL FROM DCIS. TO FURTHER MONITOR
                         FOR A FEW DAYS AND CLOSE IT IF NO MORE PROBLEM."
2248,DCP-1  BC-1   BP 1-2 INSUM PANEL SHOW TRIP ALARM.UNABLE TO  START.,ELEC,"07/04/2014 MT - DCP-1 BC-1 BP 1-2 CHECKED ONSITE,INSUM PANEL SHOW BP 1-2 TRIP ALARM,UNABLE TO START.

09/04/14 -AG/VETRI - 1) FOUND THE INSUM MCU 2 POWER CARD FAULTY AS A RESULT, THE INSUM LOST COMMUNICATION AND UNABLE TO START.
                     2) REPLACE WITH A NEW UNIT.
                     3) REPROGRAMMED ALL THE PARAMETER SETTINGS AND RECOMMISSIONED IT. 
                     4) TEST RUN BP-1-2 AND WAS SUCCESSFUL."
2250,DCP1 WCDP-2  E-STOP BUTTON FAULTY,ELEC,"08/04/2014 TEAM PSK:  P1_WCDP-2 E-STOP BUTTON FAULTY. ONCE PRESSED E-STOP DOES NOT HOLD. 

17/04/2014 - JSY & VETRI - REPLACED A NEW EMERGENCY STOP BUTTON & TESTED WITH MINTUN/OPERATION."
2251,P2/B5 POTABLE WATER PIPE WATER LEAK OUT SIDE IT-1 to 4,MECH,"08/04/2014 TEAM PSK: DCP-2 B5 OUTSIDE OF ICE TANK 1-4 POTABLE WATER SERVICE PIPE WATER LEAK. SO WE ISOLATED NEAREST INLET VALVE TO PREVENT WATER LOSE.

11/04/2014 : CUT THE LEAKAGE PIPE & CONNECT USING A NEW SOCKET."
2252,WCDP 4 Motor Temp Y,I&C,WCDP 4 Motor Temp Y is faulty. It causes the chiller to trip. The alarm in the DCIS is stated as process trip.
2252,WCDP 4 Motor Temp Y,I&C,
2253,DCP2 WCDP 4 MOTOR TEMP Y FAULTY,I&C,"12/4/2014 :JSM -WCDP 4 Motor temp Y is faulty. It causes WC 4 to trip. The alarm stated in DCIS is process trip.

14/4/2014 :BALAJI/MMK -REMOVE WIRE FORM TERMINAL BOX AND CHECK ALL OF THE CABEL LOCK & PUT BACK WIRE, THAN NOW COME BACK TO NORMAL."
2254,DCP2 EDG RE-LOCATE LEAK SENSOR TO FLOOR LEVEL OF BUND,OPERATIONS,"
29/04/2014 : MAINTENANCE RELOCATED EDG DAY TANK LEAK SENEOR FROM DRIP TRAY TO BUND WELL BELOW THE DESEIL TANK INSTRUCTED BY EO ANTHONY GOH."
2255,DCP2- CT 4 GEAR BOX OIL LEVEL LOW  AT SIDE GLASS  WHEN RUNNING,MECH,"16/04/2014-SISN - DCP2-CT 4 GEAR BOX OIL LEVEL LOW AT SIDE GLASS WHEN RUNNING COMPARED TO OTHER COOLING TOWERS WHEN RUNNING. 
                - WITNESS BY ANTHONY LIEM AND HE SUGGESTED TO CHECK THE GEAR BOX'S ACTUAL LEVEL AND ANY LEAKAGE INSIDE COOLING                    TOWER

17/04/2014 - AMR & MSR - TOP UP 1.5 LITRES OF SHELL TELLUS 320 INTO THE GEARBOX."
2256,DCP1 WC4 ANNUAL CHILLER MAINTENANCE,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
 24/02/14  - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
           - RECOVER CHILLED WATER TRANSFER TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
           - CLEAN BOTH COOLING & CHILLED WATER STRAINER - OPERATION TEAM 
 28/02/14  - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCE TEAM
           - WCP & WCDP MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & 
             MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - DRAIN OUT COMPRESSOR OIL : COMP.1 (90 LITRES), COMP.2 (90 LITRES) 
             TOP UP COMPRESSOR OIL : COMP.1 (90 LITRES), COMP.2 (90 LITRES)
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM 
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO 
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - VERIFY ALL RELATED CHILLED WATER SUPPLY & RETURN RTD & 
             MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM  
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP - DAITO
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET - DAITO
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO
           - TRANSFER CHILLED WATER BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM 
           - OPEN ALL CHILLED & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2257,ASQ2 R18 LCP PANEL DISPLAY BLACK OUT,I&C,"24/04/2014...TEAM PSK ..... ASQ2 R18 LCP PANEL DISPLAY BLACK OUT.
                            OPEN LCP PANEL AND CHECK ALL BREAKERS ARE ON POSITION AND POWER ALIVE. DISPLAY PANEL ALSO POWER                                ALIVE
                            TOUCH TO DISPLAY BUT NOT WORKING.INFORMED TO SL
                            NEED TO CHECK DISPLAY UNIT.

25/04/2014   AZL--------CHECKED LCP TOUCH PANEL DISPLAY UNIT STATUS AND RESET DISPLAY TOUCH PANEL SUPPLY. AFTER THAT BACK TO                             NORMAL AND MONITOR."
2258,DCP2 WC4  FT-120D CHILLED WATER FLOW SHOWS ERROR VALUE,I&C,"24/04/2014...TEAM PSK....DCP2 WC4 FT-120D CHELLED WATER FLOW SHOWING ERROR VALUE 6m3/h AT DCIS WHEN PUMP WAS STOPED.
                         CHECK ONSIDE FLOW TRANSMETTER SHOWS ZERO FLOW. NEED TO CHECK DCIS.

28/04/2014 - DBR & MMK : WE SIMULATE 4 TO 20 MA TO THE FLOW TRANSMITTER AND WE FOUND THAT FLOW TRANSMITTER ANLOG OUTPUT CARD WAS DRIFTED BY 0.02 MA.
                         SO THE DCIS VALUE IS SLIGHTLY HIGHTER THAN FLOW METER LOCAL DISPLAY. 

11/06/2014 - CHIA & DBR: FOUND TRANSMITTER UNABLE TO BE TRIMED TO 4.00MA. MA ERROR IS =0.12% OF FLOW RANGE AND IS WITHIN THE TRANSMITTER'S ACCURACY LIMIT."
2259,DCP2 B2M EXIT LIGHTS FAULTY.,FACILITY,"25/04/2014 - NHH : FEW EXIT LIGHTS FAULTY.NEED TO TROUBLESHOOT OR REPLACE. 
                   1) NEAR ROLLER SHUTTER OUTSIDE HEAT PUMP ROOM -  1NO.
                   2) INSIDE HEAT PUMP ROOM - 2NOS.

29/04/2014 - JSY,NBK & YBI : 1) WENT TO B2M UPS ROOM TO CHECK LIGHTING BREAKER. FOUND THAT A FEW BREAKERS TRIPPED.RESET BACK 
                             2) NEAR ROLLER SHUTTER OUTSIDE HEAT PUMP ROOM - FOUND THAT THE WIRING CAME OFF THAT LOOPED TO                                     EXIT LIGHTS INSIDE HEAT PUMP ROOM. RE-CONNECT BACK AND ALL EXIT LIGHTS BACK TO NORMAL."
2260,DCP1 BC-2 COMPRESSORS CUT OFF BY  ITSELF DURING ICE CHARGING,MECH," 26/04/2014 - MT  DCP-1 BC-2 COMPRESSORS 1,2 AND 3 CUT OFF BY ITSELF DURING ICE CHARGING DCIS SHOW ALARM ( POS  DISCREPANCY START ),GO ONSITE AND CHECKED AT THE BC2 MCP PANEL SHOW COMPRESSORS 1,2 AND 3 POWER FAILURE ALARM.
 TIME : 1:14AM CHECKED AT THE 6.6KVA ROOM NO ALARM SHOW AT THE BC2 PANEL. 


09/05/15 - Mr.Chia  - I have checked Plant 1 BC2 operation trends after the trip on 26 April. BC2 was shown running with 3 compressors without any tripping incident since after 26 Apr  2014. The following dates are the dates when BC2 was running without trip.
Dates: 27 Apr,  28 Apr, 29 Apr, 3 May, 5 May & 7 May"
2261,MBFC T3 SCADA  NETWORK DIFFERENCIAL PRESURE SHOWS HIGH SIDE,I&C,"28/04/2014 TEAM PSK:  MBFCT3 SCADA NETWORK DIFFERENTIAL PRESURE HIGH SIDE. WENT TO CHECK ON SITE ALL PT SENSOR LOOK LIKE NORMAL. NEED TO CHECK

29/04/2014 : DBR,MMK & CYW:  1)WE CHECK AND FOUND THAT ZERO VALUE OF THE PRESSURE TRANSMITTER (R19-PT-1130 )WAS DRIFTED UNTIL TO - 70 KPA.
                             2) THEN WE DID ZERO CORRECTION FOR THE PT. 
                             3)AFTER A ZERO CORRECTION THAT PT MEASURE VALUE IS O KPA AT ATMOSPHERIC PRESSURE.
                             4) WE CALIBRATE THE ZERO CORRECTION ON THE PRESSURE TRANSMITTER AND THEN PT ARE BACK TO NORMAL OPERATION"
2262,DCP1 WETBULB  TEMPERATURE VALUE SHOWS IN DCIS INFINITY,I&C,"28/04/2014 TEAM PSK:  P1/COOLING TOWER WETBULP TEMPERATURE VALUE SHOWS IN DCIS INFINITY. WENT TO CHECK ON SITE CAN'T FIX THIS ISSUE. NEED TO CHECK.

29/04/2014 DBR & CYW : WE CHECK AND FOUND THAT AMBIENT RH TRANSMITTER CARD FAULTY .

01/05/2014 DBR :  WE REPLACED THE FAULTY ANBIENT RH TRANSMITTER.  AFTER REPLACE THE RH AND WETBULB TEMPERATURE ARE BACK TO NORMAL."
2263,CASINO TCV-1120A (HEX1) VALVE OPENING FLUCTUATING,I&C,"1) PRIMARY R7-TCV-1120A VALVE OPEN/SHUT UNCONTROLLABLY CAUSING HEX1 SECONDARY TEMP HIKE.
2) TEMPORARY SOLUTION- PUT VALVE TO MANUAL MODE TO MAINTAIN SEC TEMP 6 DEG.

07/05/2014 : LEC,DBR : MONITOR VALVE DURING AUTO MODE WE FOUND BOTH READINGS HUNTING. WHEN PROCESS WAS PUT THE VALVE ON MANUAL BOTH THE FLOW & TEMP READINGS WERE STEADY.
                       WE NEED TO CHECK THE VALVE CARD AND  DCIS PID CONTOLLER.

02/06/2014 : DBR : NEED TO CHANGE THE CONTROL CARD FOR XV - VALVE. 

18/06/2014 - DBR : SCHEDULED FOR REPLACEMENT NEXT WEEK TOGETHER WITH OPERATION.

26/06/2014 - DBR/LEC/MMK/MZL- WE REPLACED THE WHOLE FAULTY ACTUATOR."
2264,ASQ2 ZONE 2 R18 HEX#5 SECONDARY VALVE (XV-1220E) CANNOT OPEN,I&C,"01/05/2014...TEAM PSK...ASQ2 ZONE2 R18 HEX#5 SECONDARY VALVE ( XV-1220E ) CAN'T OPEN. POSD-OPEN ALARM.
                        CHECK ONSIDE VALVE IS STILL CLOSE POSITION.
                        NEED TO CHECK VALVE.
19/05/2014 DBR,CYW,MMK : WE CHECK AND FOUND THAT THE CLOSE COMMAND RELAY WAS STRUCK. WE DISCONNET THE RELAY FOR 60 SEC AND RECONNECT,THEN STROKE THE XV VALVE FROM                              OUR DCIS .THE XV VALVE WAS COME BACK TO NORMAL OPERATION."
2265,DCP1 - DSP6 TRIPPED DURING RUNNING,ELEC,"2/5/2014(SBS TEAM) - DSP-6 TRIPPED DURING RUNNING TIME AND ALARM FAULT SHOWING ""AIR-COOL DIFF PRESSURE"".

12 /5/14 -AG - 12TH MAY 14 WE HAD CLEAN THE PHASE MODULE HEAT SINK AND AIR TUBE, NO TRIPPING OCCUR TILL 19TH MAY 14."
2266,DCP1 - UNABLE TO CONTROL BCP-2 DURING START-UP.,I&C,"5/5/2014 (SBS TEAM) - DURING START-UP, BCP-2 WILL RAMP UP AND UNABLE TO CONTROL IN AUTO MODE FROM DCS.

26/5/2014 - LEC : SO FAR NO MORE RAMP UP AND UNABLE TO CONTROL. MODIFIED LOGIC TO TAKE CARE OF ABNORMAL VALUE."
2267,MBFC A4 - UPS BATTERY FAILURE,I&C,"05/05/2014 (MINTUN) - OPENED UP LCP MBFC A4 AND FOUND UPS BATTERY FAILURE FAULT LIGHTED UP.

7/04/2014 AZL--- AFTER APPLICATION WORK PERMIT TO OPERATION AND CUSTOMER WE WILL CONTINUE TO UPS REPLACEMENT AT MBFC-A4.

26/04/2014 AZL : PLAN TO CHANGED ON 14 JUNE 2014. AFTER APPROVAL FROM CUSTOMER SIDE.

16/06/2014 AZL : MBFC-A4 UPS replacement was completed on 14 Jun 2014."
2268,DCP-1 AT LEVEL 4 EYEWASH LEVER NEED TO BE REPLACE.,FACILITY,"06/05/2014    NOORHAZIQ    DCP-1   LEVEL 4 COOLING TOWER AREA (OUTSIDE WATER TREATMENT ROOM)     EYEWASH LEVER NEED TO BE REPLACE.   


07/05/2014 - MAINTENANCE : READJUST THE ABOVE MENTION VALVE LEVER BACK TO POSITION AND TESTED OK EYE WASH BACK NORMAL."
